id;nombre;descripcion;fecha_zoned;precio_base;stock;activo
1;willfully;pendant;2025-11-01T04:26:37;379.02;30626;false
2;overspend;roughly consequently keenly;2025-11-01T00:49:44;28023.85;26237;false
3;blacken unless;next overload;2025-10-31T22:37:32;6078.38;767;true
4;consequently;tag loyally disarm;2025-11-01T02:31:28;10289.14;3939;true
5;absent;trivial coliseum barge;2025-10-31T18:25:36;16827.68;15921;false
6;likewise excepting gaseous;ugh always;2025-11-01T12:15:06;28457.68;26532;false
7;where dapper up;duh wound;2025-10-31T20:00:01;5745.92;127;false
8;upon reorganisation or;forage dredger athwart;2025-11-01T05:09:37;32.65;28162;false
9;foodstuffs zowie yuck;excitable usher circa;2025-11-01T02:08:10;31139.38;14818;true
10;modulo forecast;duh;2025-11-01T08:38:38;22113.17;12631;false
