id;cantidad;precio_unitario;total;fecha_zoned
1;15519;20027.05;4909.28;2025-11-01T12:43:13
2;27975;21913.7;26516.27;2025-11-01T00:49:01
3;25462;16529.89;20235.77;2025-10-31T20:25:35
4;14918;26793.89;27721.02;2025-10-31T17:43:52
5;3805;27095.17;9060.4;2025-11-01T10:34:14
6;31801;26210.54;16718.78;2025-11-01T02:19:20
7;27402;13024.12;25077.04;2025-11-01T07:34:25
8;2453;13694.41;29857.02;2025-11-01T05:24:05
9;22494;1847.85;13463.66;2025-11-01T09:34:44
10;23159;30863.29;11142.51;2025-11-01T14:35:28
